timestamp,rpm,speed_kmh,tps_pct,map_kpa,iat_c,eot_c,load_pct,maf_gs,fuel_gs,fuel_lh,kmpl
16:19:16,1342,0,13.73,55.0,10.0,31.0,26.67,4.1684,0.2836,1.369,0.00
16:19:17,1300,0,13.73,55.0,10.0,31.0,27.06,4.0379,0.2747,1.326,0.00
16:19:18,1392,0,13.73,56.0,10.0,31.0,26.67,4.4016,0.2994,1.446,0.00
16:19:20,1392,0,13.73,55.0,10.0,31.0,26.27,4.3245,0.2942,1.420,0.00
16:19:22,1453,0,13.73,55.0,10.0,31.0,26.27,4.5140,0.3071,1.482,0.00
16:19:25,1478,0,13.73,55.0,10.0,31.0,25.88,4.5901,0.3123,1.507,0.00
16:19:26,1544,0,13.73,55.0,10.0,31.0,26.27,4.7959,0.3263,1.575,0.00
16:19:27,1555,0,13.73,55.0,10.0,31.0,26.27,4.8309,0.3286,1.587,0.00
16:19:28,1499,0,13.73,54.0,10.0,31.0,25.88,4.5723,0.3110,1.502,0.00
16:19:29,1472,0,13.73,55.0,10.0,31.0,25.10,4.5730,0.3111,1.502,0.00
16:19:31,1580,0,13.73,55.0,10.0,31.0,25.10,4.9078,0.3339,1.612,0.00
16:19:32,1581,0,13.73,54.0,25.0,31.0,25.88,4.5798,0.3115,1.504,0.00
16:19:33,1510,0,13.73,54.0,10.0,31.0,25.49,4.6066,0.3134,1.513,0.00
16:19:34,1558,0,13.73,56.0,10.0,31.0,26.27,4.9274,0.3352,1.618,0.00
16:19:35,1626,0,13.73,40.0,10.0,31.0,16.47,3.6732,0.2499,1.206,0.00
16:19:38,1818,0,13.73,47.0,10.0,32.0,22.75,4.8251,0.3282,1.585,0.00
16:19:39,1516,0,13.73,55.0,10.0,32.0,46.67,4.7090,0.3203,1.546,0.00
16:19:40,2508,0,19.22,61.0,10.0,32.0,28.63,8.6424,0.5879,2.838,0.00
16:19:42,2714,0,19.22,58.0,10.0,32.0,27.06,8.8923,0.6049,2.920,0.00
16:19:44,3046,0,19.22,57.0,10.0,32.0,16.08,9.8063,0.6671,3.221,0.00
16:19:45,1724,0,13.73,51.0,10.0,32.0,24.31,4.9671,0.3379,1.631,0.00
16:19:46,1478,0,13.73,54.0,10.0,32.0,25.49,4.5074,0.3066,1.480,0.00
16:19:48,1471,0,13.73,54.0,10.0,33.0,25.10,4.4861,0.3052,1.473,0.00
16:19:49,1509,0,13.73,54.0,10.0,33.0,24.31,4.6028,0.3131,1.512,0.00
16:19:52,1536,0,13.73,54.0,10.0,33.0,24.31,4.6859,0.3188,1.539,0.00
16:19:53,1492,0,13.73,54.0,10.0,33.0,24.71,4.5509,0.3096,1.495,0.00
16:19:54,1484,0,13.73,53.0,10.0,33.0,25.10,4.4412,0.3021,1.459,0.00
16:19:57,1497,0,13.73,54.0,10.0,33.0,24.31,4.5661,0.3106,1.500,0.00
16:19:58,1496,0,13.73,54.0,10.0,34.0,24.71,4.5623,0.3104,1.498,0.00
16:20:00,1487,0,13.73,54.0,10.0,34.0,24.71,4.5356,0.3085,1.490,0.00
16:20:01,1567,0,13.73,54.0,10.0,34.0,25.10,4.7804,0.3252,1.570,0.00
16:20:02,1484,0,13.73,54.0,10.0,34.0,25.10,4.5273,0.3080,1.487,0.00
16:20:04,1460,0,13.73,54.0,10.0,34.0,0.00,4.4518,0.3028,1.462,0.00
16:20:07,0,0,0.00,0.0,25.0,0.0,0.00,0.0000,0.0000,0.000,0.00
16:20:11,0,0,0.00,0.0,25.0,0.0,0.00,0.0000,0.0000,0.000,0.00
